Number of Spheres: 1896
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.21402, variance 0.1
Mean coordination No. 10.7773
0.559515 0.282195 0.614349 0.038274
0.282124 0.668662 0.0279222 0.0347093
0.996496 0.074498 0.256737 0.0801265
0.0259418 0.824566 0.787878 0.0284572
0.19044 0.738878 0.089335 0.0775039
0.354784 0.953639 0.162629 0.0672973
0.339686 0.759322 0.193285 0.0417948
0.889729 0.189187 0.472767 0.0411012
0.202161 0.822862 0.671871 0.0578405
0.75915 0.558727 0.679505 0.0445107
0.385518 0.746286 0.517993 0.0557014
0.537305 0.755397 0.810647 0.0555868
0.773323 0.896908 0.832819 0.0527755
0.63117 0.967736 0.939447 0.042208
0.684104 0.283574 0.56832 0.0370857
0.489102 0.29147 0.253914 0.0500993
0.98902 0.686564 0.674521 0.0561929
0.485016 0.930042 0.770817 0.0274736
0.848196 0.112973 0.484066 0.0464272
0.322057 0.258294 0.100725 0.0300688
0.822778 0.957931 0.637732 0.0268777
0.331599 0.957369 0.702546 0.0410657
0.571942 0.639819 0.815646 0.0651733
0.92395 0.653213 0.141702 0.0511428
0.67738 0.504931 0.146627 0.0534621
0.333582 0.589735 0.417686 0.0501387
0.755897 0.269502 0.831411 0.0347693
0.314126 0.655951 0.611588 0.0367377
0.888558 0.573205 0.774852 0.04219
0.917248 0.783021 0.499675 0.0178553
0.462579 0.709217 0.126554 0.0543539
0.249306 0.869238 0.531904 0.032742
0.331156 0.370324 0.605939 0.0354713
0.299021 0.497821 0.430723 0.0376934
0.728313 0.868578 0.19144 0.0339572
0.969073 0.516358 0.43972 0.0268611
0.908145 0.855793 0.233966 0.03672
0.171295 0.164906 0.492718 0.0405356
0.835372 0.0563031 0.134669 0.03441
0.858229 0.777248 0.874069 0.0407599
0.454722 0.965879 0.645191 0.0296256
0.300597 0.620075 0.933849 0.0514327
0.406939 0.586467 0.98472 0.0319148
0.496933 0.865768 0.749355 0.0390708
0.565188 0.842322 0.729512 0.0357769
0.0867276 0.379118 0.114077 0.0371997
0.899049 0.279623 0.511086 0.0575595
0.0360391 0.798952 0.538614 0.0296033
0.208456 0.584214 0.130253 0.0513023
0.0175865 0.422564 0.0729844 0.054215
0.894704 0.38233 0.631404 0.0235709
0.980625 0.261192 0.35711 0.0490317
0.616941 0.263898 0.575755 0.0332937
0.326896 0.122111 0.344022 0.0388113
0.780194 0.954605 0.277845 0.0389321
0.275456 0.962915 0.236888 0.026031
0.169237 0.172421 0.910605 0.0332528
0.451137 0.769229 0.652631 0.0311484
0.788776 0.355068 0.778906 0.0606007
